timestamp,load_kw
2025-01-01 00:00:00,732.41
2025-01-01 00:15:00,735.37
2025-01-01 00:30:00,744.63
2025-01-01 00:45:00,737.49
2025-01-01 01:00:00,741.37
2025-01-01 01:15:00,738.94
2025-01-01 01:30:00,731.4
2025-01-01 01:45:00,738.31
2025-01-01 02:00:00,733.1
2025-01-01 02:15:00,733.12
2025-01-01 02:30:00,735.8
2025-01-01 02:45:00,726.32
2025-01-01 03:00:00,743.0
2025-01-01 03:15:00,732.3
2025-01-01 03:30:00,742.9
2025-01-01 03:45:00,738.4
2025-01-01 04:00:00,747.54
2025-01-01 04:15:00,735.25
2025-01-01 04:30:00,738.3
2025-01-01 04:45:00,743.23
2025-01-01 05:00:00,729.08
2025-01-01 05:15:00,748.48
2025-01-01 05:30:00,754.03
2025-01-01 05:45:00,752.87
2025-01-01 06:00:00,752.03
2025-01-01 06:15:00,748.07
2025-01-01 06:30:00,758.12
2025-01-01 06:45:00,758.41
2025-01-01 07:00:00,755.89
2025-01-01 07:15:00,755.15
2025-01-01 07:30:00,754.57
2025-01-01 07:45:00,750.98
2025-01-01 08:00:00,767.36
2025-01-01 08:15:00,751.32
2025-01-01 08:30:00,766.47
2025-01-01 08:45:00,773.98
2025-01-01 09:00:00,782.4
2025-01-01 09:15:00,791.98
2025-01-01 09:30:00,791.45
2025-01-01 09:45:00,787.71
2025-01-01 10:00:00,797.67
2025-01-01 10:15:00,789.43
2025-01-01 10:30:00,809.12
2025-01-01 10:45:00,802.98
2025-01-01 11:00:00,803.05
2025-01-01 11:15:00,806.24
2025-01-01 11:30:00,812.47
2025-01-01 11:45:00,813.02
2025-01-01 12:00:00,831.42
2025-01-01 12:15:00,815.43
2025-01-01 12:30:00,821.73
2025-01-01 12:45:00,823.24
2025-01-01 13:00:00,824.5
2025-01-01 13:15:00,825.66
2025-01-01 13:30:00,823.14
2025-01-01 13:45:00,822.96
2025-01-01 14:00:00,821.43
2025-01-01 14:15:00,817.53
2025-01-01 14:30:00,827.33
2025-01-01 14:45:00,831.23
2025-01-01 15:00:00,821.07
2025-01-01 15:15:00,819.72
2025-01-01 15:30:00,819.63
2025-01-01 15:45:00,816.97
2025-01-01 16:00:00,809.06
2025-01-01 16:15:00,823.57
2025-01-01 16:30:00,815.47
2025-01-01 16:45:00,805.8
2025-01-01 17:00:00,808.88
2025-01-01 17:15:00,801.28
2025-01-01 17:30:00,799.28
2025-01-01 17:45:00,799.19
2025-01-01 18:00:00,799.02
2025-01-01 18:15:00,798.57
2025-01-01 18:30:00,795.71
2025-01-01 18:45:00,779.92
2025-01-01 19:00:00,774.24
2025-01-01 19:15:00,773.59
2025-01-01 19:30:00,769.46
2025-01-01 19:45:00,759.95
2025-01-01 20:00:00,756.28
2025-01-01 20:15:00,763.24
2025-01-01 20:30:00,766.59
2025-01-01 20:45:00,753.76
2025-01-01 21:00:00,749.64
2025-01-01 21:15:00,750.26
2025-01-01 21:30:00,744.46
2025-01-01 21:45:00,747.31
2025-01-01 22:00:00,750.03
2025-01-01 22:15:00,745.62
2025-01-01 22:30:00,752.19
2025-01-01 22:45:00,744.42
2025-01-01 23:00:00,745.21
2025-01-01 23:15:00,740.31
2025-01-01 23:30:00,748.06
2025-01-01 23:45:00,731.88
2025-01-02 00:00:00,736.53
2025-01-02 00:15:00,730.54
2025-01-02 00:30:00,741.86
2025-01-02 00:45:00,741.43
2025-01-02 01:00:00,732.76
2025-01-02 01:15:00,745.43
2025-01-02 01:30:00,733.43
2025-01-02 01:45:00,726.75
2025-01-02 02:00:00,733.31
2025-01-02 02:15:00,737.21
2025-01-02 02:30:00,733.81
2025-01-02 02:45:00,749.07
2025-01-02 03:00:00,740.98
2025-01-02 03:15:00,746.71
2025-01-02 03:30:00,745.22
2025-01-02 03:45:00,727.46
2025-01-02 04:00:00,736.08
2025-01-02 04:15:00,722.84
2025-01-02 04:30:00,736.29
2025-01-02 04:45:00,747.89
2025-01-02 05:00:00,737.26
2025-01-02 05:15:00,739.7
2025-01-02 05:30:00,746.74
2025-01-02 05:45:00,750.83
2025-01-02 06:00:00,745.36
2025-01-02 06:15:00,747.41
2025-01-02 06:30:00,755.29
2025-01-02 06:45:00,753.49
2025-01-02 07:00:00,751.82
2025-01-02 07:15:00,757.01
2025-01-02 07:30:00,757.19
2025-01-02 07:45:00,759.89
2025-01-02 08:00:00,772.01
2025-01-02 08:15:00,762.51
2025-01-02 08:30:00,765.43
2025-01-02 08:45:00,781.44
2025-01-02 09:00:00,772.96
2025-01-02 09:15:00,791.67
2025-01-02 09:30:00,784.25
2025-01-02 09:45:00,789.82
2025-01-02 10:00:00,797.61
2025-01-02 10:15:00,804.18
2025-01-02 10:30:00,806.41
2025-01-02 10:45:00,802.57
2025-01-02 11:00:00,804.76
2025-01-02 11:15:00,812.02
2025-01-02 11:30:00,813.5
2025-01-02 11:45:00,811.37
2025-01-02 12:00:00,819.98
2025-01-02 12:15:00,825.53
2025-01-02 12:30:00,822.36
2025-01-02 12:45:00,832.27
2025-01-02 13:00:00,826.61
2025-01-02 13:15:00,824.2
2025-01-02 13:30:00,826.45
2025-01-02 13:45:00,822.91
2025-01-02 14:00:00,820.23
2025-01-02 14:15:00,829.13
2025-01-02 14:30:00,820.73
2025-01-02 14:45:00,822.99
2025-01-02 15:00:00,823.62
2025-01-02 15:15:00,825.2
2025-01-02 15:30:00,824.13
2025-01-02 15:45:00,819.89
2025-01-02 16:00:00,805.93
2025-01-02 16:15:00,813.98
2025-01-02 16:30:00,808.04
2025-01-02 16:45:00,809.27
2025-01-02 17:00:00,812.91
2025-01-02 17:15:00,808.62
2025-01-02 17:30:00,801.75
2025-01-02 17:45:00,799.93
2025-01-02 18:00:00,784.28
2025-01-02 18:15:00,790.54
2025-01-02 18:30:00,789.16
2025-01-02 18:45:00,777.11
2025-01-02 19:00:00,779.62
2025-01-02 19:15:00,770.67
2025-01-02 19:30:00,774.67
2025-01-02 19:45:00,770.99
2025-01-02 20:00:00,756.79
2025-01-02 20:15:00,767.14
2025-01-02 20:30:00,755.6
2025-01-02 20:45:00,767.49
2025-01-02 21:00:00,750.58
2025-01-02 21:15:00,752.35
2025-01-02 21:30:00,751.71
2025-01-02 21:45:00,744.44
2025-01-02 22:00:00,737.15
2025-01-02 22:15:00,741.31
2025-01-02 22:30:00,751.26
2025-01-02 22:45:00,741.54
2025-01-02 23:00:00,740.36
2025-01-02 23:15:00,750.3
2025-01-02 23:30:00,743.13
2025-01-02 23:45:00,743.43
2025-01-03 00:00:00,743.45
