timestamp,load_kw,pv_kw,price_eur_per_kwh
2025-01-01 00:00:00,732.41,0.0,0.13449
2025-01-01 00:15:00,735.37,0.0,0.13449
2025-01-01 00:30:00,744.63,0.0,0.13449
2025-01-01 00:45:00,737.49,0.0,0.13449
2025-01-01 01:00:00,741.37,0.0,0.13159
2025-01-01 01:15:00,738.94,0.0,0.13159
2025-01-01 01:30:00,731.4,0.0,0.13159
2025-01-01 01:45:00,738.31,0.0,0.13159
2025-01-01 02:00:00,733.1,0.0,0.13149
2025-01-01 02:15:00,733.12,0.0,0.13149
2025-01-01 02:30:00,735.8,0.0,0.13149
2025-01-01 02:45:00,726.32,0.0,0.13149
2025-01-01 03:00:00,743.0,0.0,0.1314199999999999
2025-01-01 03:15:00,732.3,0.0,0.1314199999999999
2025-01-01 03:30:00,742.9,0.0,0.1314199999999999
2025-01-01 03:45:00,738.4,0.0,0.1314199999999999
2025-01-01 04:00:00,747.54,0.0,0.12049
2025-01-01 04:15:00,735.25,0.0,0.12049
2025-01-01 04:30:00,738.3,0.0,0.12049
2025-01-01 04:45:00,743.23,0.0,0.12049
2025-01-01 05:00:00,729.08,0.0,0.1123
2025-01-01 05:15:00,748.48,0.0,0.1123
2025-01-01 05:30:00,754.03,0.0,0.1123
2025-01-01 05:45:00,752.87,0.0,0.1123
2025-01-01 06:00:00,752.03,0.0,0.1123
2025-01-01 06:15:00,748.07,0.0,0.1123
2025-01-01 06:30:00,758.12,0.0,0.1123
2025-01-01 06:45:00,758.41,0.0,0.1123
2025-01-01 07:00:00,755.89,0.0,0.11188
2025-01-01 07:15:00,755.15,0.0,0.11188
2025-01-01 07:30:00,754.57,0.0,0.11188
2025-01-01 07:45:00,750.98,0.0,0.11188
2025-01-01 08:00:00,767.36,0.0,0.11209
2025-01-01 08:15:00,751.32,0.0,0.11209
2025-01-01 08:30:00,766.47,0.0,0.11209
2025-01-01 08:45:00,773.98,0.0,0.11209
2025-01-01 09:00:00,782.4,0.0,0.0949899999999999
2025-01-01 09:15:00,791.98,115.20800111999999,0.0949899999999999
2025-01-01 09:30:00,791.45,179.0246261999999,0.0949899999999999
2025-01-01 09:45:00,787.71,229.44442454999998,0.0949899999999999
2025-01-01 10:00:00,797.67,279.07942431,0.035
2025-01-01 10:15:00,789.43,331.99045647,0.035
2025-01-01 10:30:00,809.12,381.85923132,0.035
2025-01-01 10:45:00,802.98,428.77758396,0.035
2025-01-01 11:00:00,803.05,466.60396887,0.02059
2025-01-01 11:15:00,806.24,504.35780031,0.02059
2025-01-01 11:30:00,812.47,536.92415088,0.02059
2025-01-01 11:45:00,813.02,574.37454336,0.02059
2025-01-01 12:00:00,831.42,613.5271166399998,0.02811
2025-01-01 12:15:00,815.43,650.85860079,0.02811
2025-01-01 12:30:00,821.73,685.54031271,0.02811
2025-01-01 12:45:00,823.24,714.1764138299999,0.02811
2025-01-01 13:00:00,824.5,738.7518336,0.03
2025-01-01 13:15:00,825.66,759.05133552,0.03
2025-01-01 13:30:00,823.14,769.88414535,0.03
2025-01-01 13:45:00,822.96,770.4167089499999,0.03
2025-01-01 14:00:00,821.43,762.93627888,0.0215
2025-01-01 14:15:00,817.53,749.6833555200001,0.0215
2025-01-01 14:30:00,827.33,729.57097584,0.0215
2025-01-01 14:45:00,831.23,705.04666716,0.0215
2025-01-01 15:00:00,821.07,674.74194588,0.01068
2025-01-01 15:15:00,819.72,639.08697024,0.01068
2025-01-01 15:30:00,819.63,601.77007728,0.01068
2025-01-01 15:45:00,816.97,560.0861679599999,0.01068
2025-01-01 16:00:00,809.06,517.57362972,0.072
2025-01-01 16:15:00,823.57,472.98638448,0.072
2025-01-01 16:30:00,815.47,420.91989467999986,0.072
2025-01-01 16:45:00,805.8,362.99476668,0.072
2025-01-01 17:00:00,808.88,294.77882879999987,0.12549
2025-01-01 17:15:00,801.28,224.27691158999988,0.12549
2025-01-01 17:30:00,799.28,166.37782095,0.12549
2025-01-01 17:45:00,799.19,0.0,0.12549
2025-01-01 18:00:00,799.02,0.0,0.14972
2025-01-01 18:15:00,798.57,0.0,0.14972
2025-01-01 18:30:00,795.71,0.0,0.14972
2025-01-01 18:45:00,779.92,0.0,0.14972
2025-01-01 19:00:00,774.24,0.0,0.15067
2025-01-01 19:15:00,773.59,0.0,0.15067
2025-01-01 19:30:00,769.46,0.0,0.15067
2025-01-01 19:45:00,759.95,0.0,0.15067
2025-01-01 20:00:00,756.28,0.0,0.15299
2025-01-01 20:15:00,763.24,0.0,0.15299
2025-01-01 20:30:00,766.59,0.0,0.15299
2025-01-01 20:45:00,753.76,0.0,0.15299
2025-01-01 21:00:00,749.64,0.0,0.15169
2025-01-01 21:15:00,750.26,0.0,0.15169
2025-01-01 21:30:00,744.46,0.0,0.15169
2025-01-01 21:45:00,747.31,0.0,0.15169
2025-01-01 22:00:00,750.03,0.0,0.14775
2025-01-01 22:15:00,745.62,0.0,0.14775
2025-01-01 22:30:00,752.19,0.0,0.14775
2025-01-01 22:45:00,744.42,0.0,0.14775
2025-01-01 23:00:00,745.21,0.0,0.13306
2025-01-01 23:15:00,740.31,0.0,0.13306
2025-01-01 23:30:00,748.06,0.0,0.13306
2025-01-01 23:45:00,731.88,0.0,0.13306
2025-01-02 00:00:00,736.53,0.0,0.13712
2025-01-02 00:15:00,730.54,0.0,0.13712
2025-01-02 00:30:00,741.86,0.0,0.13712
2025-01-02 00:45:00,741.43,0.0,0.13712
2025-01-02 01:00:00,732.76,0.0,0.12303
2025-01-02 01:15:00,745.43,0.0,0.12303
2025-01-02 01:30:00,733.43,0.0,0.12303
2025-01-02 01:45:00,726.75,0.0,0.12303
2025-01-02 02:00:00,733.31,0.0,0.1002
2025-01-02 02:15:00,737.21,0.0,0.1002
2025-01-02 02:30:00,733.81,0.0,0.1002
2025-01-02 02:45:00,749.07,0.0,0.1002
2025-01-02 03:00:00,740.98,0.0,0.0998199999999999
2025-01-02 03:15:00,746.71,0.0,0.0998199999999999
2025-01-02 03:30:00,745.22,0.0,0.0998199999999999
2025-01-02 03:45:00,727.46,0.0,0.0998199999999999
2025-01-02 04:00:00,736.08,0.0,0.0998199999999999
2025-01-02 04:15:00,722.84,0.0,0.0998199999999999
2025-01-02 04:30:00,736.29,0.0,0.0998199999999999
2025-01-02 04:45:00,747.89,0.0,0.0998199999999999
2025-01-02 05:00:00,737.26,0.0,0.10008
